# 601 snapshots, linear scaling in scale factor
# times assume cosmology from AGORA
# i scale_factor redshift time[Gyr] time_width[Myr]
377 0.6592357  0.5169082  8.604995  25.981347
378 0.6608280  0.5132530  8.630967  25.971963
379 0.6624204  0.5096154  8.656929  25.962451
380 0.6640127  0.5059952  8.682882  25.952808
381 0.6656051  0.5023923  8.708825  25.943032
382 0.6671975  0.4988067  8.734758  25.933120
383 0.6687898  0.4952381  8.760681  25.923070
384 0.6703822  0.4916865  8.786594  25.912878
385 0.6719745  0.4881517  8.812497  25.902544
386 0.6735669  0.4846336  8.838389  25.892063
387 0.6751592  0.4811321  8.864270  25.881436
388 0.6767516  0.4776471  8.890141  25.870659
389 0.6783439  0.4741784  8.916001  25.859731
390 0.6799363  0.4707260  8.941849  25.848651
391 0.6815287  0.4672897  8.967687  25.837416
392 0.6831210  0.4638695  8.993513  25.826026
393 0.6847134  0.4604651  9.019327  25.814480
394 0.6863057  0.4570766  9.045130  25.802775
395 0.6878981  0.4537037  9.070921  25.790911
396 0.6894904  0.4503464  9.096700  25.778887
397 0.6910828  0.4470046  9.122467  25.766723
398 0.6926752  0.4436782  9.148221  25.754474
399 0.6942675  0.4403670  9.173963  25.742148
400 0.6958599  0.4370709  9.199693  25.729741
401 0.6974522  0.4337900  9.225410  25.717251
402 0.6990446  0.4305239  9.251115  25.704675
403 0.7006369  0.4272727  9.276807  25.692011
404 0.7022293  0.4240363  9.302486  25.679255
405 0.7038217  0.4208145  9.328153  25.666405
406 0.7054140  0.4176072  9.353806  25.653460
407 0.7070064  0.4144144  9.379446  25.640417
408 0.7085987  0.4112360  9.405074  25.627275
409 0.7101911  0.4080717  9.430688  25.614030
410 0.7117834  0.4049217  9.456288  25.600682
411 0.7133758  0.4017857  9.481876  25.587229
412 0.7149682  0.3986637  9.507449  25.573669
413 0.7165605  0.3955556  9.533009  25.560001
414 0.7181529  0.3924612  9.558555  25.546222
415 0.7197452  0.3893805  9.584088  25.532333
416 0.7213376  0.3863135  9.609606  25.518331
417 0.7229299  0.3832599  9.635110  25.504216
418 0.7245223  0.3802198  9.660600  25.489986
419 0.7261146  0.3771930  9.686076  25.475641
420 0.7277070  0.3741794  9.711537  25.461179
421 0.7292994  0.3711790  9.736984  25.446600
422 0.7308917  0.3681917  9.762416  25.431902
423 0.7324841  0.3652174  9.787833  25.417085
424 0.7340764  0.3622560  9.813235  25.402149
425 0.7356688  0.3593074  9.838622  25.387093
426 0.7372611  0.3563715  9.863994  25.371915
427 0.7388535  0.3534483  9.889351  25.356617
428 0.7404459  0.3505376  9.914692  25.341197
429 0.7420382  0.3476395  9.940017  25.325668
430 0.7436306  0.3447537  9.965327  25.310081
431 0.7452229  0.3418803  9.990622  25.294443
432 0.7468153  0.3390192 10.015901  25.278755
433 0.7484076  0.3361702 10.041164  25.263012
434 0.7500000  0.3333333 10.066411  25.247215
435 0.7515924  0.3305085 10.091642  25.231360
436 0.7531847  0.3276956 10.116858  25.215446
437 0.7547771  0.3248945 10.142057  25.199471
438 0.7563694  0.3221053 10.167241  25.183434
439 0.7579618  0.3193277 10.192408  25.167334
440 0.7595541  0.3165618 10.217559  25.151168
441 0.7611465  0.3138075 10.242694  25.134936
442 0.7627389  0.3110647 10.267813  25.118635
443 0.7643312  0.3083333 10.292915  25.102266
444 0.7659236  0.3056133 10.318001  25.085827
445 0.7675159  0.3029046 10.343070  25.069316
446 0.7691083  0.3002070 10.368123  25.052732
447 0.7707006  0.2975207 10.393159  25.036075
448 0.7722930  0.2948454 10.418178  25.019344
449 0.7738854  0.2921811 10.443181  25.002538
450 0.7754777  0.2895277 10.468166  24.985656
451 0.7770701  0.2868852 10.493135  24.968697
452 0.7786624  0.2842536 10.518087  24.951660
453 0.7802548  0.2816327 10.543021  24.934545
454 0.7818471  0.2790224 10.567939  24.917351
455 0.7834395  0.2764228 10.592839  24.900078
456 0.7850318  0.2738337 10.617722  24.882726
457 0.7866242  0.2712551 10.642587  24.865292
458 0.7882166  0.2686869 10.667435  24.847778
459 0.7898089  0.2661290 10.692265  24.830183
460 0.7914013  0.2635815 10.717077  24.812506
461 0.7929936  0.2610442 10.741872  24.794748
462 0.7945860  0.2585170 10.766649  24.776907
463 0.7961783  0.2560000 10.791408  24.758984
464 0.7977707  0.2534930 10.816149  24.740978
465 0.7993631  0.2509960 10.840872  24.722889
466 0.8009554  0.2485089 10.865576  24.704722
467 0.8025478  0.2460317 10.890263  24.686506
468 0.8041401  0.2435644 10.914931  24.668257
469 0.8057325  0.2411067 10.939581  24.649972
470 0.8073248  0.2386588 10.964213  24.631650
471 0.8089172  0.2362205 10.988826  24.613291
472 0.8105096  0.2337917 11.013421  24.594894
473 0.8121019  0.2313725 11.037998  24.576456
474 0.8136943  0.2289628 11.062555  24.557978
475 0.8152866  0.2265625 11.087095  24.539459
476 0.8168790  0.2241715 11.111616  24.520897
477 0.8184713  0.2217899 11.136118  24.502292
478 0.8200637  0.2194175 11.160602  24.483643
479 0.8216561  0.2170543 11.185067  24.464949
480 0.8232484  0.2147002 11.209513  24.446209
481 0.8248408  0.2123552 11.233940  24.427424
482 0.8264331  0.2100193 11.258349  24.408591
483 0.8280255  0.2076923 11.282739  24.389712
484 0.8296178  0.2053743 11.307109  24.370784
485 0.8312102  0.2030651 11.331461  24.351808
486 0.8328025  0.2007648 11.355794  24.332782
487 0.8343949  0.1984733 11.380108  24.313708
488 0.8359873  0.1961905 11.404402  24.294583
489 0.8375796  0.1939163 11.428678  24.275408
490 0.8391720  0.1916509 11.452934  24.256183
491 0.8407643  0.1893939 11.477171  24.236906
492 0.8423567  0.1871456 11.501388  24.217578
493 0.8439490  0.1849057 11.525587  24.198199
494 0.8455414  0.1826742 11.549765  24.178767
495 0.8471338  0.1804511 11.573925  24.159284
496 0.8487261  0.1782364 11.598064  24.139748
497 0.8503185  0.1760300 11.622185  24.120160
498 0.8519108  0.1738318 11.646285  24.100519
499 0.8535032  0.1716418 11.670366  24.080826
500 0.8550955  0.1694600 11.694427  24.061079
501 0.8566879  0.1672862 11.718468  24.041280
502 0.8582803  0.1651206 11.742490  24.021428
503 0.8598726  0.1629630 11.766491  24.001522
504 0.8614650  0.1608133 11.790473  23.981563
505 0.8630573  0.1586716 11.814434  23.961552
506 0.8646497  0.1565378 11.838376  23.941487
507 0.8662420  0.1544118 11.862297  23.921369
508 0.8678344  0.1522936 11.886198  23.901198
509 0.8694268  0.1501832 11.910079  23.880973
510 0.8710191  0.1480804 11.933940  23.860709
511 0.8726115  0.1459854 11.957781  23.840448
512 0.8742038  0.1438980 11.981601  23.820198
513 0.8757962  0.1418182 12.005401  23.799957
514 0.8773885  0.1397459 12.029180  23.779724
515 0.8789809  0.1376812 12.052940  23.759499
516 0.8805732  0.1356239 12.076679  23.739280
517 0.8821656  0.1335740 12.100398  23.719066
518 0.8837580  0.1315315 12.124097  23.698856
519 0.8853503  0.1294964 12.147776  23.678648
520 0.8869427  0.1274686 12.171434  23.658442
521 0.8885350  0.1254480 12.195072  23.638237
522 0.8901274  0.1234347 12.218690  23.618032
523 0.8917197  0.1214286 12.242288  23.597826
524 0.8933121  0.1194296 12.265866  23.577618
525 0.8949045  0.1174377 12.289423  23.557407
526 0.8964968  0.1154529 12.312961  23.537192
527 0.8980892  0.1134752 12.336477  23.516973
528 0.8996815  0.1115044 12.359974  23.496749
529 0.9012739  0.1095406 12.383451  23.476519
530 0.9028662  0.1075838 12.406907  23.456282
531 0.9044586  0.1056338 12.430343  23.436038
532 0.9060510  0.1036907 12.453759  23.415786
533 0.9076433  0.1017544 12.477154  23.395526
534 0.9092357  0.0998249 12.500530  23.375256
535 0.9108280  0.0979021 12.523885  23.354976
536 0.9124204  0.0959860 12.547219  23.334686
537 0.9140127  0.0940767 12.570534  23.314386
538 0.9156051  0.0921739 12.593828  23.294073
539 0.9171975  0.0902778 12.617102  23.273749
540 0.9187898  0.0883882 12.640355  23.253413
541 0.9203822  0.0865052 12.663588  23.233063
542 0.9219745  0.0846287 12.686801  23.212701
543 0.9235669  0.0827586 12.709993  23.192324
544 0.9251592  0.0808950 12.733165  23.171934
545 0.9267516  0.0790378 12.756316  23.151529
546 0.9283439  0.0771870 12.779448  23.131110
547 0.9299363  0.0753425 12.802558  23.110675
548 0.9315287  0.0735043 12.825648  23.090225
549 0.9331210  0.0716724 12.848718  23.069759
550 0.9347134  0.0698467 12.871768  23.049277
551 0.9363057  0.0680272 12.894796  23.028778
552 0.9378981  0.0662139 12.917805  23.008263
553 0.9394904  0.0644068 12.940792  22.987732
554 0.9410828  0.0626058 12.963759  22.967183
555 0.9426752  0.0608108 12.986706  22.946617
556 0.9442675  0.0590219 13.009632  22.926033
557 0.9458599  0.0572391 13.032538  22.905432
558 0.9474522  0.0554622 13.055422  22.884813
559 0.9490446  0.0536913 13.078287  22.864176
560 0.9506369  0.0519263 13.101130  22.843521
561 0.9522293  0.0501672 13.123953  22.822848
562 0.9538217  0.0484140 13.146755  22.802156
563 0.9554140  0.0466667 13.169537  22.781446
564 0.9570064  0.0449251 13.192297  22.760718
565 0.9585987  0.0431894 13.215037  22.739970
566 0.9601911  0.0414594 13.237756  22.719204
567 0.9617834  0.0397351 13.260455  22.698419
568 0.9633758  0.0380165 13.283132  22.677616
569 0.9649682  0.0363036 13.305789  22.656793
570 0.9665605  0.0345964 13.328425  22.635952
